text,label
We have received your application.,Pending
We are delighted to offer you the position of Backend Developer.,Selection
We regret to inform you that we will not be moving forward.,Rejection
We appreciate your interest but cannot proceed further.,Rejection
"After careful review, we are unable to continue.",Rejection
You have been shortlisted for the next round of interviews.,Selection
Congratulations! We are pleased to move forward with your application for the Frontend Developer role.,Selection
Your profile is being considered.,Pending
"Thank you for applying, but we are moving ahead with others.",Rejection
Your profile is being considered.,Pending
We will not be progressing your application.,Rejection
We will not be progressing your application.,Rejection
Your application was not selected this time.,Rejection
Our team was impressed and would like to proceed further.,Selection
We have received your application.,Pending
Our team was impressed and would like to proceed further.,Selection
Your application was not selected this time.,Rejection
You have successfully cleared the technical round.,Selection
You have been shortlisted for the next round of interviews.,Selection
We are still evaluating your profile.,Pending
We are excited to inform you that you have been selected.,Selection
Your application was not selected this time.,Rejection
Your application was not selected this time.,Rejection
"Unfortunately, we have chosen another candidate.",Rejection
You have been selected for the upcoming interview stage.,Selection
We will not be progressing your application.,Rejection
You have successfully cleared the technical round.,Selection
We are delighted to offer you the position of Machine Learning Engineer.,Selection
"Unfortunately, we have chosen another candidate.",Rejection
Your application is currently under review.,Pending
We are still evaluating your profile.,Pending
We are delighted to offer you the position of Full Stack Developer.,Selection
You have been selected for the upcoming interview stage.,Selection
You have been shortlisted for the next round of interviews.,Selection
Your profile has been approved for the final interview.,Selection
"After careful review, we are unable to continue.",Rejection
Our team will get back to you soon.,Pending
We have received your application.,Pending
We have received your application.,Pending
We have received your application.,Pending
We are reviewing all applications carefully.,Pending
Our team will get back to you soon.,Pending
The position is still open and under evaluation.,Pending
You have been shortlisted for the next round of interviews.,Selection
We are still evaluating your profile.,Pending
Your application is currently under review.,Pending
"After careful review, we are unable to continue.",Rejection
Your application was not selected this time.,Rejection
We are excited to inform you that you have been selected.,Selection
You have successfully cleared the technical round.,Selection
The position has been filled by another applicant.,Rejection
We will not be progressing your application.,Rejection
"Thank you for applying, but we are moving ahead with others.",Rejection
Your profile has been approved for the final interview.,Selection
We are delighted to offer you the position of Machine Learning Engineer.,Selection
You have successfully cleared the technical round.,Selection
You have been shortlisted for the next round of interviews.,Selection
You have been shortlisted for the next round of interviews.,Selection
Your profile is being considered.,Pending
Your application was not selected this time.,Rejection
Congratulations! We are pleased to move forward with your application for the Python Developer role.,Selection
You have been selected for the upcoming interview stage.,Selection
Your application was not selected this time.,Rejection
"Unfortunately, we have chosen another candidate.",Rejection
We are delighted to offer you the position of Python Developer.,Selection
"After careful review, we are unable to continue.",Rejection
The hiring process is ongoing.,Pending
We are still evaluating your profile.,Pending
Your application was not selected this time.,Rejection
"Unfortunately, we have chosen another candidate.",Rejection
Your profile is being considered.,Pending
We appreciate your interest but cannot proceed further.,Rejection
The position is still open and under evaluation.,Pending
We appreciate your interest but cannot proceed further.,Rejection
"After careful review, we are unable to continue.",Rejection
You have successfully cleared the technical round.,Selection
We will not be progressing your application.,Rejection
"Thank you for applying, but we are moving ahead with others.",Rejection
The hiring process is ongoing.,Pending
We have received your application.,Pending
We are reviewing all applications carefully.,Pending
You have successfully cleared the technical round.,Selection
You have been shortlisted for the next round of interviews.,Selection
We are still evaluating your profile.,Pending
The hiring process is ongoing.,Pending
The position is still open and under evaluation.,Pending
We will not be progressing your application.,Rejection
Our team was impressed and would like to proceed further.,Selection
The position is still open and under evaluation.,Pending
The position is still open and under evaluation.,Pending
We regret to inform you that we will not be moving forward.,Rejection
Your application was not selected this time.,Rejection
The hiring process is ongoing.,Pending
The hiring process is ongoing.,Pending
The hiring process is ongoing.,Pending
We are still evaluating your profile.,Pending
The position has been filled by another applicant.,Rejection
The hiring process is ongoing.,Pending
We are excited to inform you that you have been selected.,Selection
We will not be progressing your application.,Rejection
You have successfully cleared the technical round.,Selection
Congratulations! We are pleased to move forward with your application for the Software Engineer role.,Selection
We regret to inform you that we will not be moving forward.,Rejection
You have successfully cleared the technical round.,Selection
Your profile has been approved for the final interview.,Selection
